t,- torso_lift_joint_position,- arm_1_joint_position,- arm_2_joint_position,- arm_3_joint_position,- arm_4_joint_position,- arm_5_joint_position,- arm_6_joint_position,- arm_7_joint_position
0.0,0.059777934162170615,0.06999127460154318,0.042825847614689605,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05007320606840884,-3.981080735586742e-05
0.010879278182983398,0.059777934162170615,0.06999127460154318,0.04281050760333799,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05008690244708632,-2.6114428678388618e-05
0.020119190216064453,0.059777934162170615,0.06999127460154318,0.04281050760333799,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05008233698752716,-2.1548969119229017e-05
0.030049562454223633,0.059777934162170615,0.06999127460154318,0.04281050760333799,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050064075149290524,-1.2418050000913283e-05
0.041031837463378906,0.059777934162170615,0.06999127460154318,0.04281050760333799,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05003668239193557,5.843788235721653e-06
0.05031299591064453,0.059777934162170615,0.06999127460154318,0.04279516759198637,-0.029731817992299313,0.005290374926751459,-3.067988823755169e-05,0.050045813311053886,-3.981080735587089e-05
0.06014227867126465,0.059777934162170615,0.06999127460154318,0.04279516759198637,-0.029731817992299313,0.005290374926751459,-1.2418050000913283e-05,0.05008690244708632,-7.176902426998463e-05
0.07042145729064941,0.059777934162170615,0.06999127460154318,0.04279516759198637,-0.029731817992299313,0.005290374926751459,-2.1548969119232486e-05,0.05010516428532296,-5.350718603334623e-05
0.08059215545654297,0.059777934162170615,0.06999127460154318,0.042779827580634755,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05010516428532296,-4.4376266915027024e-05
0.09006977081298828,0.059777934162170615,0.06999127460154318,0.04276448756928314,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05008233698752716,-2.1548969119229017e-05
0.10036802291870117,0.059777934162170615,0.06999127460154318,0.04273380754657996,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050054944230172205,-3.2871308825940804e-06
0.11013364791870117,0.059777934162170615,0.06999127460154318,0.042718467535228344,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05004124785149473,-1.6983509560072885e-05
0.12008881568908691,0.059777934162170615,0.06999127460154318,0.04268778751252511,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05005950968973137,-7.176902426998116e-05
0.12996196746826172,0.059777934162170615,0.06999127460154318,0.042672447501173494,-0.029731817992299313,0.005290374926751459,-3.067988823755169e-05,0.05008690244708632,-6.263810515166543e-05
0.14106321334838867,0.059777934162170615,0.06999127460154318,0.042641767478470316,-0.029731817992299313,0.005290374926751459,-1.2418050000913283e-05,0.0501005988257638,-3.981080735586742e-05
0.15111637115478516,0.059777934162170615,0.06999127460154318,0.04261108745576708,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05008233698752716,-2.1548969119229017e-05
0.16009211540222168,0.059777934162170615,0.06999127460154318,0.042595747444415466,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050054944230172205,5.8437882357251225e-06
0.17006802558898926,0.059777934162170615,0.06999127460154318,0.042595747444415466,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05005950968973137,-1.6983509560072885e-05
0.18054986000061035,0.059777934162170615,0.06999127460154318,0.04258040743306385,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05008233698752716,-6.720356471082503e-05
0.19016313552856445,0.059777934162170615,0.06999127460154318,0.04258040743306385,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050077771527968,-7.176902426998463e-05
0.20069551467895508,0.059777934162170615,0.06999127460154318,0.04258040743306385,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.0501005988257638,-4.8941726474186625e-05
0.2103104591369629,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-2.1548969119232486e-05,0.05008233698752716,-2.1548969119229017e-05
0.22025513648986816,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.2871308825940804e-06,0.05005950968973137,1.278328676565521e-06
0.22990036010742188,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05006864060884969,-1.6983509560072885e-05
0.24071931838989258,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05007320606840884,-3.981080735586742e-05
0.25112247467041016,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050054944230172205,-5.807264559250583e-05
0.2601892948150635,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050064075149290524,-3.067988823754822e-05
0.27008843421936035,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.05005950968973137,-7.852590441753682e-06
0.28042054176330566,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-3.981080735586742e-05,0.050064075149290524,-3.2871308825940804e-06
0.2913377285003662,0.059777934162170615,0.06999127460154318,0.04256506742171223,-0.029731817992299313,0.005290374926751459,-1.2418050000913283e-05,0.05008690244708632,-3.524534779670782e-05
