x1,y1,z1,phix1,phiy1,phiz1,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_joint,head_1_joint,head_2_joint,Unnamed: 15,torso_lift_joint
0.170852,-0.050049,0.562218,2.60835,-0.0765568,-0.0201028,0.22360300000000002,-1.03009,-0.9586520000000001,2.19338,0.502215,0.0962589,-0.0359426,0.87859,-0.782297,,0
0.261017,-0.11817899999999999,0.9471299999999999,2.4833,0.17460799999999999,-0.0439486,1.5055,-0.392059,-0.0391221,-0.0639821,1.1704299999999999,0.817693,1.8179400000000001,0.301784,-0.482067,,0
0.352288,0.126973,0.941332,2.22843,0.128071,-0.178696,1.1408399999999999,-0.407904,-2.6252400000000002,-0.262587,1.37424,-1.1051799999999998,-1.15903,0.11721300000000001,-0.424058,,0
0.12203,0.10804100000000001,0.9336110000000001,2.1451,0.15492,-0.00268531,0.36316,-1.12147,-2.56834,1.3956,0.24638800000000002,0.282468,-0.121679,-0.786679,-0.385019,,0
0.103949,0.113087,0.929483,2.46339,-0.237081,0.179171,0.7568739999999999,-0.679614,1.1912399999999999,-0.29269,-0.548312,-1.0814700000000002,-1.29439,-0.517525,-0.37669400000000003,,0
0.224291,0.21334699999999998,0.9363440000000001,2.1852,-0.182615,-0.08419360000000001,0.43028900000000003,-0.642371,-1.45044,0.7677970000000001,-0.713715,0.740934,1.8318,-0.214802,-0.41168000000000005,,0
-0.31276,-0.0381986,0.921953,2.50392,-0.174368,0.0675702,2.14696,-1.26613,-2.41013,0.9033450000000001,-0.299442,0.969398,0.8218799999999999,0.335766,-0.802003,,0
-0.19447899999999999,0.207504,0.65705,2.19605,-0.114266,-0.111608,2.18254,-0.930717,-3.3260099999999997,1.8471400000000002,-0.723168,-0.160134,0.503555,0.29384,0.205353,,0
-0.12076400000000001,-0.11871400000000001,0.904227,2.65809,-0.262268,0.149104,2.6024599999999998,-0.7682,-2.86572,0.697332,2.06917,-0.7682829999999999,-1.6375899999999999,0.965218,-0.4628,,0
-0.0368785,-0.036367800000000006,0.48046099999999997,2.46581,-0.0304565,-0.0100765,0.42458900000000005,-0.257735,-2.0222700000000002,2.3019700000000003,0.776213,1.16957,-0.336348,-0.506236,0.06718969999999999,,0
-0.11029100000000001,0.11452000000000001,0.911065,2.54325,0.255735,-0.263312,1.0736,-0.6672819999999999,1.46302,0.0974965,-0.0634057,-1.2623799999999998,-1.9515,-0.675461,-0.40124299999999996,,0
