rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,ux,uy,uz,w
1.69453705878734E+018,,26558,,1694537060,138732837,"""world""",,,7.20459985733032,0.0166587810963392,-1.75533592700958,,-0.000381197984097525,6.06836110819131E-05,0.000696186965797097,-0.999999761581421
1.69453705879392E+018,,26559,,1694537060,145307886,"""world""",,,7.2046160697937,0.0166816171258688,-1.75529503822327,,-0.000347259134287015,0.00011231197277084,0.000626079679932445,-0.999999821186066
1.69453705880283E+018,,26560,,1694537060,154161706,"""world""",,,7.20461130142212,0.0166982039809227,-1.75531125068665,,-0.000283258559647948,7.60087423259392E-05,0.000708242296241224,-0.999999761581421
1.69453705881171E+018,,26561,,1694537060,162366446,"""world""",,,7.20459699630737,0.016678549349308,-1.75530600547791,,-0.000312331249006093,0.000101254125183914,0.000668707303702831,-0.999999701976776
1.69453705881918E+018,,26562,,1694537060,170453845,"""world""",,,7.20459461212158,0.0166597440838814,-1.75532531738281,,-0.000408433581469581,8.99690567166545E-05,0.00058913481188938,-0.999999821186066
1.69453705882769E+018,,26563,,1694537060,178831128,"""world""",,,7.20462894439697,0.0166845228523016,-1.75531136989594,,-0.000457820773590356,0.00017870833107736,0.000653515220619738,-0.999999701976776
1.69453705883622E+018,,26564,,1694537060,187412709,"""world""",,,7.20460033416748,0.0166598446667194,-1.75528275966644,,-0.000364656210877001,8.63368913996965E-05,0.00065196433570236,-0.999999701976776
1.6945370588449E+018,,26565,,1694537060,195818516,"""world""",,,7.20461750030518,0.0166905652731657,-1.75530159473419,,-0.000398763600969687,0.000197517758351751,0.000623211264610291,-0.999999701976776
1.69453705885281E+018,,26566,,1694537060,204009615,"""world""",,,7.20461702346802,0.0166770350188017,-1.7552992105484,,-0.000354996067471802,0.000136197122628801,0.00066464499104768,-0.999999701976776
1.69453705886103E+018,,26567,,1694537060,212316640,"""world""",,,7.20462846755981,0.0167129170149565,-1.7552924156189,,-0.000323802843922749,0.000144702455145307,0.000635152333416045,-0.999999761581421
1.6945370588699E+018,,26568,,1694537060,221170863,"""world""",,,7.20461273193359,0.0166788212954998,-1.75529992580414,,-0.000339188292855397,0.000124769809190184,0.000681751349475235,-0.999999761581421
1.69453705887781E+018,,26569,,1694537060,229108215,"""world""",,,7.20462083816528,0.0166922025382519,-1.75529634952545,,-0.000383053993573412,0.000193802683497779,0.000628995476290584,-0.999999761581421
1.69453705888618E+018,,26570,,1694537060,237348499,"""world""",,,7.20459318161011,0.016673756763339,-1.75531077384949,,-0.000380234065232798,0.000147737169754691,0.000634505937341601,-0.999999761581421
1.69453705889439E+018,,26571,,1694537060,245554988,"""world""",,,7.20462989807129,0.0166766438633204,-1.7552924156189,,-0.0003239220532123,0.000115353672299534,0.000727889535482973,-0.999999761581421
1.69453705890303E+018,,26572,,1694537060,254363407,"""world""",,,7.20462989807129,0.0167049448937178,-1.75529766082764,,-0.000316705205477774,0.000152331369463354,0.000731020350940526,-0.999999642372131
1.69453705891173E+018,,26573,,1694537060,263038740,"""world""",,,7.2046160697937,0.0166741404682398,-1.75530886650085,,-0.000299441278912127,0.000135717957164161,0.000714933266863227,-0.999999701976776
1.69453705892004E+018,,26574,,1694537060,271344093,"""world""",,,7.20462465286255,0.0166611447930336,-1.75532531738281,,-0.000323485233820975,0.000101952384284232,0.000708275882061571,-0.999999701976776
1.69453705892761E+018,,26575,,1694537060,278977963,"""world""",,,7.20460844039917,0.0166570525616407,-1.7553186416626,,-0.000331075047142804,0.000105689781776164,0.000663117738440633,-0.999999701976776
1.69453705893822E+018,,26576,,1694537060,287460857,"""world""",,,7.20460081100464,0.0166604742407799,-1.75531184673309,,-0.000371663511032239,0.0000970042674452998,0.000666931970044971,-0.999999701976776
1.69453705894446E+018,,26577,,1694537060,295774091,"""world""",,,7.2046332359314,0.0166671592742205,-1.7553026676178,,-0.000379163044271991,0.000148042643559165,0.000656504591461271,-0.999999761581421
1.6945370589529E+018,,26578,,1694537060,304144204,"""world""",,,7.20461320877075,0.0166667234152555,-1.75529599189758,,-0.000317180616548285,0.000109634856926277,0.000663756800349802,-0.999999761581421
1.69453705896123E+018,,26579,,1694537060,312530418,"""world""",,,7.2046070098877,0.016661174595356,-1.75530230998993,,-0.000280303531326354,0.000105795035779011,0.000660054909531027,-0.999999761581421
1.69453705896952E+018,,26580,,1694537060,320700962,"""world""",,,7.20462274551392,0.0166678857058287,-1.75531435012817,,-0.000377700751414523,0.000134901638375595,0.000692854810040444,-0.999999761581421
1.69453705897789E+018,,26581,,1694537060,329076007,"""world""",,,7.20461654663086,0.0167062189429998,-1.75531268119812,,-0.000398140138713643,0.00015189552505035,0.000675138609949499,-0.999999761581421
1.69453705898604E+018,,26582,,1694537060,337362108,"""world""",,,7.20461320877075,0.0166764929890633,-1.75529527664185,,-0.000362263614078984,0.000131660170154646,0.000636131851933897,-0.999999761581421
1.69453705899455E+018,,26583,,1694537060,345778921,"""world""",,,7.2046046257019,0.0166489984840155,-1.75532639026642,,-0.000350687332684174,0.000103814578324091,0.000672948604915291,-0.999999761581421
1.69453705900345E+018,,26584,,1694537060,354239743,"""world""",,,7.20462846755981,0.0166769027709961,-1.75529849529266,,-0.000281757733318955,0.000123968377010897,0.000592749216593802,-0.999999821186066
1.6945370590126E+018,,26585,,1694537060,363848220,"""world""",,,7.20462417602539,0.0166662260890007,-1.75530230998993,,-0.00032144840224646,0.000117212330223992,0.000609819544479251,-0.999999761581421
