t,- torso_lift_joint_velocity,- arm_1_joint_velocity,- arm_2_joint_velocity,- arm_3_joint_velocity,- arm_4_joint_velocity,- arm_5_joint_velocity,- arm_6_joint_velocity,- arm_7_joint_velocity
0.0,7.713603758928901e-08,5.667211488324872e-07,-6.160841877411023e-05,-2.715852180364284e-09,-9.333929388322751e-07,-5.0293228134673995e-05,4.9564074118612915e-05,-7.98199715538969e-05
0.010879278182983398,7.327923570982456e-08,5.383850913908628e-07,-0.00012923118685851997,-2.5800595713460696e-09,-8.867232918906613e-07,-4.7778566727940295e-05,0.00011021344107539192,-1.2701402313492402e-05
0.020119190216064453,6.961527392433334e-08,5.114658368213197e-07,-0.00012276962751559396,-2.451056592778766e-09,-8.423871272961282e-07,-4.538963839154328e-05,8.007925746602715e-05,1.2557179357777377e-05
0.030049562454223633,6.613451022811667e-08,4.858925449802537e-07,-0.00011663114613981425,-2.3285037631398277e-09,-8.002677709313218e-07,-4.3120156471966115e-05,-1.5866057746742372e-05,5.7899996559620405e-05
0.041031837463378906,6.282778471671082e-08,4.6159791773124097e-07,-0.00011079958883282353,-2.212078574982836e-09,-7.602543823847557e-07,-4.096414864836781e-05,-0.00013998090647303883,0.00013827709780739116
0.05031299591064453,5.968639548087528e-08,4.385180218446789e-07,-0.00018801270772971643,-2.101474646233694e-09,-7.222416632655178e-07,1.0341639524989844e-05,-8.372428040844294e-05,-0.00011492466078775427
0.06014227867126465,5.670207570683151e-08,4.1659212075244495e-07,-0.00017861207234323058,-1.9964009139220094e-09,-6.861295801022419e-07,0.00010240801184681854,0.00012877470578263759,-0.00027119947276998583
0.07042145729064941,5.386697192148993e-08,3.957625147148227e-07,-0.00016968146872606906,-1.896580868225909e-09,-6.518231010971298e-07,5.2929290012861105e-05,0.0002110526129767387,-0.00016892285664825353
0.08059215545654297,5.1173623325415435e-08,3.7597438897908155e-07,-0.0002366786487008941,-1.8017518248146134e-09,-6.192319460422733e-07,-3.9575415664846455e-05,0.000200499982327906,-0.00011554759322730431
0.09006977081298828,4.861494215914466e-08,3.5717566953012747e-07,-0.0003057566775324501,-1.7116642335738827e-09,-5.882703487401596e-07,-3.759664488160413e-05,7.007080666049563e-05,1.0633962985075983e-05
0.10036802291870117,4.618419505118743e-08,3.393168860536211e-07,-0.0004394043039839155,-1.6260810218951885e-09,-5.588568313031516e-07,-3.571681263752392e-05,-6.6410240429504e-05,9.875393600713596e-05
0.11013364791870117,4.3874985298628056e-08,3.2235104175094e-07,-0.0004961521620695325,-1.544776970800429e-09,-5.30913989737994e-07,-3.393097200564772e-05,-0.00013337341436871086,2.3532553246097092e-05
0.12008881568908691,4.168123603369665e-08,3.06233489663393e-07,-0.0006247849762811647,-1.4675381222604075e-09,-5.043682902510943e-07,-3.223442340536533e-05,-3.5371559239534277e-05,-0.0002516436276483876
0.12996196746826172,3.9597174232011817e-08,2.9092181518022334e-07,-0.0006711947877451904,-1.394161216147387e-09,-4.791498757385395e-07,1.5596773928307885e-05,0.00010505544721268801,-0.00019284197010255885
0.14106321334838867,3.761731552041122e-08,2.7637572442121216e-07,-0.0007761954658633639,-1.3244531553400176e-09,-4.5519238195161255e-07,9.729301274220031e-05,0.00016165973298478447,-8.010477470954611e-05
0.15111637115478516,3.573644974439066e-08,2.6255693820015156e-07,-0.0008899312610662045,-1.2582304975730166e-09,-4.324327628540319e-07,-4.377244138858916e-05,6.277621067308942e-05,1.4700999688387035e-05
0.16009211540222168,3.394962725717112e-08,2.4942909129014395e-07,-0.0009305294923877257,-1.1953189726943656e-09,-4.108111247113303e-07,-4.1583819319159696e-05,-9.231692382095046e-05,0.00016592027366435307
0.17006802558898926,3.2252145894312566e-08,2.3695763672563674e-07,-0.0008840030177683394,-1.1355530240596472e-09,-3.9027056847576375e-07,-3.950462835320171e-05,-6.481389093268297e-05,4.318832649500088e-05
0.18054986000061035,3.0639538599596935e-08,2.2510975488935489e-07,-0.0009130276602974511,-1.0787753728566649e-09,-3.7075704005197556e-07,-3.7529396935541625e-05,4.7391792430688106e-05,-0.00019869406522658527
0.19016313552856445,2.9107561669617086e-08,2.1385426714488712e-07,-0.0008673762772825785,-1.0248366042138316e-09,-3.5221918804937676e-07,-3.565292708876454e-05,2.1283468166103086e-05,-0.00021249809660830662
0.20069551467895508,2.7652183586136232e-08,2.0316155378764275e-07,-0.0008240074634184495,-9.7359477400314e-10,-3.346082286469079e-07,-3.387028073432631e-05,0.00012847255464691984,-9.361993188876938e-05
0.2103104591369629,2.6269574406829418e-08,1.9300347609826062e-07,-0.0008626496212789578,-9.24915035302983e-10,-3.178778172145625e-07,6.287344889077872e-05,2.699871132617609e-05,5.363638808827022e-05
0.22025513648986816,2.4956095686487946e-08,1.8335330229334757e-07,-0.0008195171402150099,-8.786692835378338e-10,-3.0198392635383436e-07,0.00015139090051529495,-8.892762932644297e-05,0.00016553097377016695
0.22990036010742188,2.370829090216355e-08,1.7418563717868017e-07,-0.0007785412832042594,-8.347358193609421e-10,-2.868847300361426e-07,-4.538672817301902e-05,-3.7179226944483514e-05,6.26503832503795e-05
0.24071931838989258,2.252287635705537e-08,1.6547635531974616e-07,-0.0007396142190440464,-7.92999028392895e-10,-2.7254049353433545e-07,-4.311739176436807e-05,-1.4183820036953465e-05,-4.616436371368494e-05
0.25112247467041016,2.13967325392026e-08,1.5720253755375885e-07,-0.0007026335080918441,-7.533490769732502e-10,-2.5891346885761865e-07,-4.096152217614967e-05,-0.00010123361807565158,-0.00013161513456854648
0.2601892948150635,2.0326895912242467e-08,1.493424106760709e-07,-0.0006675018326872519,-7.156816231245876e-10,-2.459677954147377e-07,-3.891344606734218e-05,-4.5804373054460936e-05,2.6068314512105035e-05
0.27008843421936035,1.931055111663034e-08,1.4187529014226735e-07,-0.0006341267410528892,-6.798975419683583e-10,-2.3366940564400078e-07,-3.6967773763975066e-05,-6.652165151642891e-05,0.00013980238435998981
0.28042054176330566,1.8345023560798823e-08,1.3478152563515397e-07,-0.0006024204040002447,-6.459026648699403e-10,-2.2198593536180072e-07,-3.511938507577631e-05,-4.106017915861496e-05,0.0001549476549239828
0.2913377285003662,1.7427772382758882e-08,1.2804244935339627e-07,-0.0005722993838002324,-6.136075316264432e-10,-2.1088663859371068e-07,9.176117020967729e-05,6.52633181590378e-05,1.2215884741681113e-06
0.3011150360107422,1.6556383763620937e-08,1.2164032688572646e-07,-0.0005436844146102208,-5.829271550451211e-10,-2.0034230666402513e-07,-6.207007744959354e-06,3.865512239005215e-05,2.4505538911493464e-05
0.3109922409057617,1.572856457543989e-08,7.783339227870506e-05,-0.0005165001938797097,-5.53780797292865e-10,-1.9032519133082387e-07,-5.2157070061982646e-05,-5.579845913802813e-05,2.3280261965918786e-05
0.32114505767822266,1.4942136346667897e-08,7.39417226647698e-05,-0.0004906751841857243,-5.260917574282217e-10,-1.8080893176428267e-07,-4.954921655888351e-05,-0.0002102579048561879,-3.4794665739564976e-07
0.32987070083618164,1.4195029529334501e-08,7.02446365315313e-05,-0.00046614142497643804,-4.997871695568106e-10,-1.7176848517606852e-07,-4.707175573093933e-05,-0.00019974500961337355,0.00015637489534666804
0.3399665355682373,1.3485278052867775e-08,6.673240470495473e-05,-0.0004428343537276161,-4.747978110789701e-10,-1.631800609172651e-07,-4.471816794439236e-05,1.3382100793428632e-05,3.5700672842599535e-05
0.35053229331970215,1.2811014150224386e-08,6.339578446970699e-05,-0.0004206926360412353,-4.5105792052502154e-10,-1.5502105787140184e-07,-4.248225954717274e-05,0.0001862729706237106,-5.286434823450097e-05
0.3599202632904053,1.2170463442713166e-08,6.022599524622164e-05,-0.0003996580042391735,-4.2850502449877044e-10,-1.4727000497783173e-07,8.128294780166017e-06,0.0001527161014175258,-7.446435149777519e-05
0.36995530128479004,1.1561940270577507e-08,5.721469548391055e-05,-0.00037967510402721485,-4.070797732738319e-10,-1.3990650472894013e-07,0.00014412805202549097,9.961157235187606e-05,-2.5272409928112998e-05
0.3807048797607422,1.098384325704863e-08,5.435396070971502e-05,-0.0004321313963339939,-3.8672578461014027e-10,-1.3291117949249312e-07,-3.31729562846371e-05,-5.420178626096659e-05,8.23003391363241e-05
0.39087772369384766,1.0434651094196198e-08,5.163626267422927e-05,-0.00041052482651729417,-3.6738949537963323e-10,-1.2626562051786845e-07,-3.151430847040525e-05,-0.00016362411057754974,5.575883945357648e-05
0.4006309509277344,9.912918539486388e-09,4.90544495405178e-05,-0.00038999858519142946,-3.4902002061065155e-10,-1.1995233949197503e-07,-2.9938593046884984e-05,-1.5240197382198635e-05,-8.723181018557597e-05
0.40996742248535156,9.417272612512068e-09,4.660172706349191e-05,-0.00037049865593185796,-3.3156901958011894e-10,-1.1395472251737627e-07,-2.8441663394540735e-05,3.443917146357568e-05,1.4964498277017656e-05
0.42023611068725586,8.946408981886464e-09,4.427164071031731e-05,-0.00035197372313526505,-3.1499056860111296e-10,-1.0825698639150746e-07,-2.7019580224813698e-05,5.493358489410221e-05,8.086538937428271e-05
0.42992734909057617,8.49908853279214e-09,4.2058058674801443e-05,-0.0003343750369785018,-2.992410401710573e-10,-1.0284413707193209e-07,-2.566860121357301e-05,-1.845742482260673e-05,0.00014746645037757238
0.44024229049682617,8.074134106152533e-09,3.995515574106137e-05,-0.00031765628512957667,-2.842789881625044e-10,-9.770193021833548e-08,6.413064670199742e-05,-0.00010605037143637659,0.00018435103678613967
