Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.247943,0.98,1.242121,1.1
fv1,8.107054,0.51,8.08729,0.67
fs1,6.966832,1.7,7.014425,2.26
off1,0.403909,16.02,0.399354,21.82
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.46452,2.18,-0.464831,2.61
Ixy2,0.002189,218.98,0.001163,533.28
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.157168,3.36,-0.158627,4.2
Iyz2,0.003256,120.45,0.003782,131.71
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.07996,0.84,1.075026,1.03
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.241472,1.91,2.237742,2.45
my2,0.15816,23.36,0.161865,28.84
fv2,5.60096,0.84,5.593924,1.06
fs2,8.123402,1.36,8.134077,1.76
off2,1.548425,32.77,1.562068,39.82
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.125718,8.02,0.123032,9.17
Ixy3,0.006499,84.98,0.001627,385.5
Ixz3,-0.007173,87.58,-0.005116,133.13
Iyz3,0.008489,43.54,0.007907,51.2
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.111568,7.06,0.106279,8.16
mx3,0.066129,35.4,0.078984,31.48
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.592391,2.06,-0.598359,2.1
Ia3,0.092124,7.2,0.097102,7.23
fv3,1.978,1.67,1.98261,1.57
fs3,6.307204,1.73,6.282682,1.63
off3,0.310391,63.26,0.3476,59.02
Ixx4 - 1.0*Iyy4 + 1.0*Iyy5,0.002604,192.15,0.002956,164.24
Ixy4,-0.00254,84.94,-0.006737,29.97
Ixz4,-0.005179,49.96,-0.00176,130.99
Iyz4,-0.004922,58.95,-0.005778,40.57
Izz4 + 1.0*Iyy5,-0.004047,86.05,0.001358,192.43
mx4,-0.026719,22.68,-0.020836,24.3
my4 + 1.0*mz5,-0.004879,157.1,-0.012159,46.45
Ia4,0.031828,11.49,0.029726,7.41
fv4,1.10695,2.95,1.112374,1.37
fs4,2.484089,4.8,2.490079,2.23
off4,-0.117319,54.26,-0.117201,25.42
Ixx5 - 1.0*Iyy5 + 1.0*Iyy6,0.007011,48.83,0.001938,119.55
Ixy5,-0.001422,111.93,-7.3e-05,1580.92
Ixz5,0.000179,913.83,0.000368,323.44
Iyz5,0.004228,36.91,0.001238,97.58
Izz5 + 1.0*Iyy6,0.00411,62.94,-8.7e-05,2828.74
mx5,0.008566,60.63,0.001365,357.5
my5 - 1.0*mz6,-0.03129,14.43,-0.033972,11.61
Ia5,0.043623,9.97,0.047978,8.48
fv5,1.857995,2.27,1.854047,2.07
fs5,3.025972,3.65,3.041052,3.34
off5,0.041907,169.43,0.004409,1445.59
Ixx6 - 1.0*Iyy6,-0.003464,38.64,-0.001258,78.06
Ixy6,-0.000127,557.0,-0.00049,106.7
Ixz6,0.001218,93.46,0.002081,39.4
Iyz6,0.003513,28.65,0.002253,32.08
Izz6,0.003002,50.29,0.001161,88.22
mx6,-0.010815,29.59,-0.009209,29.91
my6,-0.000273,1127.19,0.002293,115.88
fv6,0.643794,3.29,0.647663,1.78
fs6,0.243976,55.88,0.304214,29.68
off6,0.142184,45.41,0.129268,27.15
Iam6,0.007679,47.78,0.007724,26.0
fvm6,0.597492,2.73,0.616288,1.8
fsm6,2.033376,4.69,1.956284,3.89
