tau1,tau2,tau3,tau4,tau5,tau6
1044.8297798182052,-9211.761355211333,-4156.0803446065565,22.81316697622039,9.041991596023172,10.743431952606642
-1167.9249857611064,-12281.471526685293,-5345.865547256997,-24.991440064179628,-3.4634219697723667,1.131802293873993
-991.7691834294632,-11131.339897852202,-6551.878339684709,-41.0456996156926,21.643220952899586,10.464036119054471
631.4421592259672,-11381.576329088355,-5201.8041685059325,-22.809039621119485,3.6631978466694433,-12.381583923619134
2079.431556819865,-7895.81777886035,-1825.9472670422986,22.900046761256025,17.956067936851824,11.253465374659152
846.7668654220016,5017.077439223479,2219.515646710037,63.79521140634134,-9.380627887590798,0.8112012004739367
-1250.4465010253898,12141.803114756047,5427.899126014182,61.12788231950396,-11.430133655017336,-2.969486057019726
-1001.1025732975925,10966.689783090049,6526.590895134218,64.14074446562964,-15.22663144348873,8.905979508550573
480.4850966653375,11254.548090879462,5060.701399954687,57.90762043944673,-3.2478985276643946,7.666480147842205
1781.6245341301421,7143.087680313612,1599.2164437279157,70.52277843691546,2.8492571691257815,10.402747799597625
579.9749972694148,-5977.699134256092,-2486.230905365029,37.65800886937851,-2.854461762724049,-11.634421213065188
-1253.2570617518475,-12407.428052226063,-5627.436668966651,-33.76525310990923,-2.070035195878733,-1.226376280567036
-1091.7689152282564,-11083.424901907658,-6571.428353537074,-31.84618774384538,-25.356894031196152,19.318487062407016
215.10590810710823,-11473.655144520075,-5004.106547361033,-20.275688882455036,-2.5759303082323255,-1.2126039621670606
1393.2931958819643,-6969.721298102293,-1476.8072918991218,42.67320698879562,-12.194993054278964,0.32807649596494814
453.48452071071875,6290.390044692592,2631.6761518052226,87.90537622682498,9.658329005148385,9.086097678256456
-1126.7668483186512,12231.004857019736,5709.326568522488,63.08882429705529,-14.999266466440845,-3.6844057559188212
-1130.8177978358842,10943.273024521592,6548.398047394994,41.65581099747857,3.852027204714042,-10.563992201350898
