'time'','LFHDx’,'LFHDy','LFHDz','RFHDx','RFHDy','RFHDz','LBHDx','LBHDy','LBHDz','RBHDx','RBHDy','RBHDz',‘C7x’,'C7y’,‘C7z’,'T10x’,'T10y','T10z','CLAVx','CLAVy','CLAVz','STRNx','STRNy','STRNz','RBAKx','RBAKy','RBAKz','LSHOx','LSHOy','LSHOz','LELBx','LELBy','LELBz','LWRAx','LWRAy','LWRAz','LWRBx','LWRBy','LWRBz','LFINx','LFINy','LFINz','RSHOx','RSHOy','RSHOz','RELBx','RELBy','RELBz','RWRAx','RWRAy','RWRAz','RWRBx','RWRBy','RWRBz','RFINx','RFINy','RFINz','LASIx','LASIy','LASIz','RASIx','RASIy','RASIz','LPSIx','LPSIy','LPSIz','RPSIx','RPSIy','RPSIz','LTHIx','LTHIy','LTHIz','LKNEx','LKNEy','LKNEz','LTIBx','LTIBy','LTIBz','LANKx','LANKy','LANKz','LHEEx','LHEEy','LHEEz','LTOEx','LTOEy','LTOEz','RTHIx','RTHIy','RTHIz','RKNEx','RKNEy','RKNEz','RTIBx','RTIBy','RTIBz','RANKx','RANKy','RANKz','RHEEx','RHEEy','RHEEz','RTOEx','RTOEy’,'RTOEz’,'Fx0’,'Fy0’,'Fz0’,'Mx0’,'My0’,'Mz0’
296.9333190917969,1473.852294921875,300.42205810546875,1734.706298828125,1451.397216796875,433.654052734375,1730.111572265625,1627.33984375,330.4986267089844,1706.8060302734375,1597.3326416015625,456.6737976074219,1710.20751953125,1643.4322509765625,379.2308349609375,1531.38232421875,1700.9012451171875,384.1744079589844,1207.910888671875,1492.708984375,364.0965576171875,1439.090087890625,1443.587890625,368.8218078613281,1234.3636474609375,1711.3916015625,486.8494873046875,1367.6663818359375,1596.955078125,549.0363159179688,1504.8480224609375,1603.4114990234375,807.4996948242188,1319.251220703125,1499.4139404296875,1030.091064453125,1210.47314453125,1449.3980712890625,989.3516235351562,1184.5162353515625,1411.9139404296875,1081.0810546875,1157.36328125,1620.09912109375,202.89356994628906,1511.84326171875,1638.6949462890625,-60.01911544799805,1325.7490234375,1577.0782470703125,-306.27337646484375,1255.470458984375,1517.9876708984375,-290.9713439941406,1242.03271484375,1513.78955078125,-387.90753173828125,1221.910888671875,1506.8511962890625,238.06057739257812,988.0222778320312,1512.2545166015625,539.3864135742188,986.4302978515625,1717.0306396484375,361.1858215332031,1024.1488037109375,1721.8504638671875,433.63909912109375,1024.2861328125,1565.8094482421875,189.34535217285156,642.6511840820312,1590.238525390625,215.17465209960938,512.27294921875,1659.3043212890625,184.80712890625,227.46437072753906,1665.92431640625,195.32180786132812,88.08316040039062,1719.792724609375,240.06446838378906,54.68192672729492,1506.4453125,196.60772705078125,44.34605026245117,1569.1595458984375,611.2794799804688,720.345947265625,1605.49560546875,578.3849487304688,512.02001953125,1654.4027099609375,610.8489990234375,396.8350830078125,1674.4681396484375,613.55859375,83.17648315429688,1730.9949951171875,558.7752685546875,45.29218292236328,1516.763671875,609.1077270507812,43.96799850463867,19.925168991088867,-24.27613067626953,-925.6072387695312,47.19681167602539,670.8148803710938,6.540891647338867
297.4560241699219,1444.568359375,343.0730285644531,1737.86083984375,1423.0440673828125,476.9403991699219,1730.8271484375,1599.3238525390625,373.008544921875,1713.99267578125,1569.599609375,499.3216552734375,1715.1007080078125,1616.9249267578125,420.2441711425781,1535.94091796875,1665.8826904296875,417.23712158203125,1207.927978515625,1465.6051025390625,400.8122863769531,1449.2064208984375,1412.9703369140625,397.8592224121094,1243.1868896484375,1679.202880859375,524.1680297851562,1369.2222900390625,1575.3116455078125,571.6574096679688,1519.078125,1563.288330078125,862.8292236328125,1430.0428466796875,1492.5811767578125,1119.322998046875,1411.24951171875,1432.474365234375,1096.5517578125,1385.497802734375,1410.609130859375,1198.40234375,1390.6162109375,1597.8275146484375,258.2806396484375,1535.3355712890625,1593.6168212890625,-42.70532989501953,1461.941650390625,1555.50927734375,-300.81890869140625,1483.3082275390625,1495.0889892578125,-295.4601745605469,1470.734375,1500.1431884765625,-396.1805419921875,1480.266357421875,1467.3001708984375,263.6492919921875,994.7174072265625,1467.7568359375,564.2418212890625,989.8832397460938,1675.664794921875,389.543701171875,1024.9031982421875,1679.9031982421875,462.7200622558594,1024.56689453125,1525.712890625,217.17877197265625,647.9537963867188,1548.771240234375,245.09249877929688,517.9718627929688,1638.649169921875,219.40142822265625,236.4123992919922,1659.549072265625,224.6800079345703,99.48271179199219,1711.848876953125,275.4292297363281,69.8039779663086,1508.4986572265625,201.02333068847656,44.87773132324219,1522.380615234375,630.7509155273438,721.2163696289062,1561.2667236328125,592.251953125,512.7525634765625,1616.96337890625,620.6014404296875,397.4453430175781,1669.4461669921875,615.4889526367188,89.2046890258789,1728.9285888671875,559.2548217773438,55.49725341796875,1515.4559326171875,609.5835571289062,43.19350051879883,-33.35469055175781,-26.164308547973633,-870.9470825195312,18.839855194091797,546.5255126953125,5.896459102630615
297.9568176269531,1465.78515625,321.57122802734375,1730.508544921875,1445.2838134765625,455.21710205078125,1722.4432373046875,1620.8953857421875,349.7065124511719,1709.4322509765625,1592.4615478515625,476.3450012207031,1709.1085205078125,1641.4053955078125,396.0203857421875,1528.428955078125,1687.058349609375,391.8089294433594,1200.3048095703125,1488.2685546875,376.6494445800781,1445.72607421875,1432.75048828125,372.19940185546875,1239.8724365234375,1702.0703125,499.57843017578125,1360.6617431640625,1601.5753173828125,545.7181396484375,1513.013671875,1586.7210693359375,838.00390625,1428.8836669921875,1516.434326171875,1095.0133056640625,1413.683349609375,1456.72216796875,1071.504638671875,1387.23095703125,1434.1485595703125,1173.06640625,1389.1668701171875,1623.25439453125,238.18275451660156,1531.6015625,1615.3875732421875,-64.36347961425781,1492.198486328125,1591.776123046875,-320.1624450683594,1536.9481201171875,1531.0693359375,-318.4405517578125,1523.4747314453125,1538.6068115234375,-417.4167785644531,1537.5994873046875,1488.703857421875,244.17794799804688,985.902587890625,1485.268310546875,545.04638671875,986.5780029296875,1696.5469970703125,373.0798034667969,1017.57373046875,1699.8165283203125,446.2248229980469,1018.87939453125,1557.4505615234375,198.9667510986328,641.131103515625,1587.3607177734375,222.5227813720703,511.7565612792969,1660.9715576171875,192.99632263183594,227.9497528076172,1668.366943359375,203.94093322753906,89.00570678710938,1720.0286865234375,251.06703186035156,56.618003845214844,1509.319091796875,195.9259490966797,44.08625411987305,1544.962646484375,615.5597534179688,717.4258422851562,1591.7606201171875,581.8707885742188,509.9369812011719,1643.6710205078125,613.3491821289062,395.7955627441406,1672.1597900390625,611.47998046875,83.60018157958984,1730.8941650390625,557.9068603515625,46.3367805480957,1516.2159423828125,608.7809448242188,43.60688018798828,10.778592109680176,12.24831485748291,-922.4642333984375,81.36930847167969,640.892822265625,-19.36301612854004
298.8498840332031,1499.0478515625,314.1757507324219,1730.4293212890625,1481.556884765625,448.1311950683594,1723.208984375,1655.186767578125,338.9370422363281,1715.131103515625,1629.574462890625,466.1202087402344,1715.2662353515625,1680.702880859375,390.30950927734375,1527.8433837890625,1719.8118896484375,387.85406494140625,1199.5260009765625,1523.0986328125,367.3973083496094,1450.36865234375,1463.7333984375,358.5202331542969,1247.6099853515625,1734.8519287109375,494.7637939453125,1357.7462158203125,1637.2142333984375,539.9380493164062,1512.213623046875,1608.271240234375,829.8278198242188,1420.1185302734375,1523.6243896484375,1082.4412841796875,1402.609619140625,1464.758544921875,1054.8980712890625,1377.7427978515625,1436.1510009765625,1154.2139892578125,1377.795166015625,1665.9552001953125,232.760986328125,1534.5948486328125,1655.7061767578125,-71.01844787597656,1503.109619140625,1630.055419921875,-324.7769775390625,1557.8045654296875,1568.999755859375,-322.5789794921875,1547.3131103515625,1576.6322021484375,-422.1948547363281,1562.9478759765625,1521.3358154296875,229.8446044921875,991.4288940429688,1508.6744384765625,530.99267578125,986.571044921875,1726.0504150390625,366.6947021484375,1018.15283203125,1725.632080078125,439.9110412597656,1017.4511108398438,1579.8585205078125,186.7040557861328,643.9678344726562,1603.19384765625,213.26869201660156,513.2132568359375,1666.6640625,188.640869140625,226.03399658203125,1669.6390380859375,201.9889373779297,87.4906234741211,1721.1431884765625,249.462890625,55.38102722167969,1510.0252685546875,195.95486450195312,44.3088493347168,1559.4339599609375,603.6725463867188,717.3045043945312,1603.7122802734375,573.6748657226562,509.3572692871094,1652.2222900390625,607.9611206054688,395.11883544921875,1672.8521728515625,610.4766235351562,83.70801544189453,1731.1724853515625,557.8751831054688,45.279136657714844,1516.2744140625,608.3701782226562,43.55963134765625,4.835391044616699,1.9157636165618896,-926.617431640625,78.05842590332031,666.7057495117188,-12.72454833984375
299.81561279296875,1505.171142578125,318.4618835449219,1731.4664306640625,1488.309326171875,452.6959533691406,1724.74365234375,1661.3992919921875,342.8620910644531,1713.891357421875,1636.27978515625,470.117431640625,1714.859619140625,1684.91650390625,394.55889892578125,1527.6759033203125,1723.182861328125,394.38043212890625,1199.369384765625,1527.645751953125,372.0983581542969,1450.5802001953125,1467.7464599609375,363.6953430175781,1247.75244140625,1738.892333984375,499.6123352050781,1357.7550048828125,1642.4857177734375,543.9264526367188,1512.3726806640625,1613.388671875,834.3703002929688,1422.533447265625,1528.1287841796875,1086.995849609375,1407.9849853515625,1469.275390625,1059.6578369140625,1383.55712890625,1440.4818115234375,1159.1552734375,1383.916015625,1669.78369140625,236.990966796875,1533.599609375,1658.031494140625,-66.77867889404297,1500.500244140625,1630.763671875,-320.2326354980469,1555.22998046875,1569.497314453125,-317.6616516113281,1544.952880859375,1576.6932373046875,-417.3671569824219,1560.16845703125,1525.9437255859375,235.78868103027344,990.8121337890625,1509.0283203125,536.2987670898438,987.6361083984375,1728.9456787109375,374.3226013183594,1017.804443359375,1727.5374755859375,447.60797119140625,1017.4451293945312,1582.0760498046875,190.85874938964844,643.7402954101562,1605.0166015625,217.0154266357422,513.053955078125,1667.81298828125,190.3855743408203,226.42190551757812,1669.6907958984375,202.47499084472656,87.66059112548828,1721.0438232421875,249.71884155273438,55.27457809448242,1509.8892822265625,195.96551513671875,44.335472106933594,1559.467041015625,608.0523681640625,717.1905517578125,1604.89208984375,577.5215454101562,509.5526123046875,1652.7833251953125,611.1405029296875,394.4864501953125,1672.5950927734375,610.657958984375,83.6224136352539,1731.259521484375,558.09130859375,45.28086853027344,1516.224609375,608.2088623046875,43.56183624267578,5.624844551086426,0.6962314248085022,-923.9820556640625,71.53360748291016,666.8828735351562,-11.830221176147461
300.7236328125,1514.570068359375,317.0874938964844,1732.0843505859375,1497.5523681640625,451.5906982421875,1725.3487548828125,1670.8597412109375,342.01611328125,1714.4891357421875,1645.63818359375,469.23773193359375,1715.3896484375,1693.80029296875,392.9460754394531,1527.5103759765625,1730.0382080078125,390.0635681152344,1199.314453125,1538.3533935546875,371.7897644042969,1449.8082275390625,1478.34130859375,363.8684387207031,1245.742431640625,1749.4261474609375,494.72479248046875,1356.7603759765625,1653.7276611328125,542.75244140625,1510.511474609375,1629.534912109375,831.414794921875,1411.580078125,1547.16796875,1084.661376953125,1388.93896484375,1488.1932373046875,1057.2796630859375,1364.7701416015625,1460.566162109375,1157.0897216796875,1360.3177490234375,1679.6463623046875,237.76681518554688,1535.822021484375,1666.5146484375,-66.04061126708984,1518.131591796875,1638.3724365234375,-315.98358154296875,1587.405029296875,1576.89794921875,-313.400390625,1578.324951171875,1583.593017578125,-412.1772155761719,1599.1602783203125,1530.28564453125,236.55072021484375,991.9118041992188,1518.5972900390625,537.5879516601562,989.0143432617188,1735.468017578125,371.1160888671875,1017.344970703125,1735.2730712890625,444.04156494140625,1016.4496459960938,1582.5794677734375,190.70880126953125,644.4092407226562,1605.3189697265625,216.60292053222656,513.3040161132812,1667.669677734375,189.67591857910156,225.99827575683594,1669.715087890625,202.05447387695312,87.38060760498047,1721.22998046875,249.3358917236328,55.003543853759766,1510.0677490234375,196.13038635253906,44.34661102294922,1566.9805908203125,608.5374145507812,718.1807250976562,1608.2989501953125,577.162109375,509.8586730957031,1655.459716796875,610.9414672851562,394.4232482910156,1672.8936767578125,610.5940551757812,83.24666595458984,1731.1300048828125,558.0358276367188,44.851234436035156,1516.1763916015625,608.3179321289062,43.65489196777344,6.438478469848633,2.5159006118774414,-925.0279541015625,73.56199645996094,675.5225219726562,-13.231130599975586
301.3060607910156,1506.83837890625,315.4261474609375,1728.8095703125,1491.371826171875,449.70538330078125,1722.3284912109375,1663.5909423828125,338.0123291015625,1716.2366943359375,1639.7447509765625,465.47320556640625,1717.1328125,1692.4501953125,389.0859069824219,1529.228271484375,1732.87890625,389.8540344238281,1200.4332275390625,1539.29541015625,371.4505310058594,1448.1529541015625,1481.6112060546875,368.9113464355469,1243.021728515625,1748.5118408203125,495.2166442871094,1362.0767822265625,1656.230224609375,535.1597900390625,1521.2574462890625,1632.432861328125,832.1911010742188,1462.4124755859375,1549.7755126953125,1086.3624267578125,1473.23779296875,1490.5936279296875,1062.0511474609375,1445.8414306640625,1462.6578369140625,1161.593017578125,1454.81884765625,1677.3289794921875,233.51010131835938,1530.77490234375,1663.71630859375,-69.2303237915039,1493.1806640625,1633.21630859375,-323.2908020019531,1545.91552734375,1572.0745849609375,-319.7818298339844,1535.3673095703125,1578.0087890625,-420.0781555175781,1549.1495361328125,1531.400146484375,236.42897033691406,992.1775512695312,1523.8355712890625,538.4375,988.5632934570312,1738.651611328125,368.4644470214844,1017.0762329101562,1739.7320556640625,441.26031494140625,1016.750732421875,1583.2454833984375,190.6137237548828,644.9284057617188,1605.3123779296875,216.4992218017578,513.4061889648438,1667.445068359375,189.71542358398438,225.81475830078125,1669.7540283203125,202.08761596679688,87.38463592529297,1721.318359375,249.37966918945312,54.934383392333984,1510.060302734375,196.19961547851562,44.41413879394531,1571.87109375,608.602294921875,718.8446044921875,1610.230712890625,576.6273193359375,510.1009521484375,1656.82275390625,610.3173828125,394.6525573730469,1672.8619384765625,610.38671875,83.26949310302734,1731.1204833984375,557.9707641601562,44.797821044921875,1516.2608642578125,608.3934326171875,43.64841842651367,5.905184268951416,0.6527990102767944,-923.8074340820312,73.38941192626953,675.5953369140625,-12.111185073852539
301.8685607910156,1503.872802734375,314.4037170410156,1729.434814453125,1487.4630126953125,448.54302978515625,1722.933837890625,1660.2305908203125,337.9114074707031,1716.67919921875,1635.7235107421875,465.30291748046875,1717.52783203125,1690.404052734375,388.8984375,1527.274169921875,1729.9464111328125,389.9216613769531,1199.6318359375,1538.81591796875,370.564208984375,1448.73779296875,1479.4703369140625,365.94183349609375,1242.4317626953125,1746.0540771484375,494.00079345703125,1360.037841796875,1654.7340087890625,535.0487060546875,1518.977294921875,1629.6884765625,831.24951171875,1454.958984375,1545.7445068359375,1085.2049560546875,1462.5804443359375,1486.6954345703125,1060.53515625,1436.384765625,1458.43408203125,1159.9683837890625,1442.8731689453125,1676.59521484375,233.3099822998047,1531.0072021484375,1663.398681640625,-70.29215240478516,1494.5433349609375,1633.082275390625,-323.6625061035156,1548.6878662109375,1571.6529541015625,-320.3664855957031,1538.85986328125,1577.48291015625,-420.4325256347656,1552.6171875,1528.33203125,234.11241149902344,992.0870971679688,1519.18359375,536.37548828125,987.9193725585938,1734.932861328125,367.4251403808594,1017.3449096679688,1735.330810546875,440.36810302734375,1016.6668090820312,1581.8828125,189.14190673828125,644.0545654296875,1605.146484375,215.08140563964844,513.22607421875,1667.4346923828125,188.9126739501953,225.83316040039062,1669.743408203125,201.91392517089844,87.42996978759766,1721.2762451171875,249.23704528808594,55.020015716552734,1510.090576171875,196.1055908203125,44.39240646362305,1567.8240966796875,606.6253662109375,718.2562866210938,1608.320556640625,575.4772338867188,509.7525329589844,1655.3128662109375,609.5316162109375,394.5799560546875,1672.844970703125,610.3333129882812,83.4448471069336,1730.9825439453125,557.7815551757812,44.91646957397461,1516.20166015625,608.339111328125,43.655517578125,3.9168787002563477,3.58655047416687,-925.5299072265625,76.67737579345703,672.3136596679688,-14.345149993896484
302.4958190917969,1508.865966796875,315.3960876464844,1731.4052734375,1491.29052734375,449.36474609375,1723.573486328125,1665.21826171875,340.3192138671875,1717.447021484375,1639.568359375,467.5049133300781,1716.980712890625,1692.7396240234375,389.72412109375,1526.1968994140625,1730.7662353515625,392.81622314453125,1199.3084716796875,1539.1898193359375,371.1413269042969,1449.4803466796875,1479.3687744140625,367.3568420410156,1243.652099609375,1747.1903076171875,495.53985595703125,1359.2471923828125,1657.0413818359375,535.988525390625,1518.696533203125,1631.1661376953125,831.8787841796875,1452.578369140625,1547.857177734375,1086.0440673828125,1459.7493896484375,1488.2908935546875,1061.118896484375,1434.4251708984375,1461.1104736328125,1161.5103759765625,1439.314208984375,1679.8165283203125,234.69508361816406,1530.0260009765625,1666.47509765625,-68.6830825805664,1493.6663818359375,1635.55517578125,-322.6553039550781,1548.380859375,1574.42724609375,-318.8785705566406,1538.6932373046875,1580.134033203125,-419.0879211425781,1552.686767578125,1529.4549560546875,236.66702270507812,992.0267944335938,1518.876708984375,539.1141357421875,988.469482421875,1735.15869140625,371.0538330078125,1016.982421875,1735.2042236328125,443.76824951171875,1016.4332275390625,1581.9674072265625,191.06590270996094,644.2965698242188,1604.839599609375,217.0146484375,513.2606201171875,1667.3184814453125,189.86593627929688,225.93209838867188,1669.737548828125,202.17361450195312,87.56389617919922,1721.2481689453125,249.42568969726562,55.035343170166016,1509.9276123046875,196.12355041503906,44.40591812133789,1567.8907470703125,608.9459228515625,718.3067626953125,1608.2420654296875,577.1884155273438,509.83856201171875,1655.16796875,610.876220703125,394.3824462890625,1672.811767578125,610.4722900390625,83.21598815917969,1731.0888671875,557.9290161132812,44.80458450317383,1516.2449951171875,608.3279418945312,43.66914749145508,6.282724857330322,1.0190556049346924,-926.4603881835938,73.13378143310547,676.1792602539062,-12.308761596679688
303.33612060546875,1511.3404541015625,315.9103698730469,1730.249267578125,1494.507568359375,449.9417419433594,1722.609375,1667.8455810546875,339.913818359375,1718.346435546875,1642.865478515625,467.2853698730469,1718.1383056640625,1695.55029296875,389.99432373046875,1526.4683837890625,1733.2926025390625,392.74029541015625,1199.471923828125,1541.2427978515625,371.11572265625,1449.0150146484375,1482.604248046875,367.3791809082031,1243.0902099609375,1750.2586669921875,495.23388671875,1359.2156982421875,1659.599609375,536.2805786132812,1518.17822265625,1633.4534912109375,831.7608032226562,1450.173583984375,1549.05029296875,1085.5328369140625,1455.5269775390625,1489.617431640625,1060.22021484375,1430.0460205078125,1462.4617919921875,1161.1700439453125,1432.6934814453125,1682.5596923828125,234.62432861328125,1529.9014892578125,1668.3031005859375,-68.5993423461914,1493.2919921875,1635.82666015625,-322.38153076171875,1548.3935546875,1574.6483154296875,-318.2403564453125,1538.8597412109375,1579.6925048828125,-418.5201110839844,1552.908935546875,1531.98681640625,236.51950073242188,992.3141479492188,1521.36328125,539.0457153320312,988.8104248046875,1737.6414794921875,370.8061218261719,1016.5889892578125,1738.09521484375,443.87799072265625,1016.14892578125,1583.0787353515625,190.89186096191406,644.8076171875,1605.16796875,216.84608459472656,513.383544921875,1667.62109375,189.7289276123047,225.92578125,1669.7408447265625,202.03646850585938,87.35313415527344,1721.322509765625,249.3243865966797,54.92033004760742,1509.921630859375,196.05938720703125,44.40813446044922,1569.0009765625,608.718994140625,718.4344482421875,1608.53564453125,577.0164184570312,509.87591552734375,1655.316650390625,610.7713012695312,394.2815246582031,1672.8890380859375,610.4923706054688,83.26225280761719,1731.143310546875,557.9359130859375,44.75041961669922,1516.2410888671875,608.2844848632812,43.63007354736328,6.539834976196289,3.1057381629943848,-924.1367797851562,74.10424041748047,676.624755859375,-13.734607696533203
