rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1690205323107684313,,22108,,1690205323,117023199,"""world""",,,3.8183629512786865,1.0111266374588013,-0.8128803372383118,,-0.006362027954310179,-0.7174341678619385,0.008542281575500965,0.6965449452400208
1690205323121674987,,22109,,1690205323,130899636,"""world""",,,3.8182852268218994,1.011133074760437,-0.8128575086593628,,-0.005309947766363621,-0.7168083786964417,0.009560056030750275,0.6971845030784607
1690205323123919462,,22110,,1690205323,133297203,"""world""",,,3.8182926177978516,1.011170744895935,-0.8128548860549927,,-0.005303323268890381,-0.7168179750442505,0.009505408816039562,0.6971754431724548
1690205323132860249,,22111,,1690205323,142209704,"""world""",,,3.8182966709136963,1.0111976861953735,-0.8128477931022644,,-0.005196169018745422,-0.7167402505874634,0.009739403612911701,0.6972528696060181
1690205323141335470,,22112,,1690205323,150421917,"""world""",,,3.8182969093322754,1.0112121105194092,-0.8128182291984558,,-0.0051100472919642925,-0.7167374491691589,0.009700650349259377,0.6972569823265076
1690205323150036321,,22113,,1690205323,159058181,"""world""",,,3.8183088302612305,1.0112024545669556,-0.812808096408844,,-0.005154761020094156,-0.7166833877563477,0.009757425636053085,0.6973113417625427
1690205323157397732,,22114,,1690205323,166829557,"""world""",,,3.8182878494262695,1.01123046875,-0.8128475546836853,,-0.005379350855946541,-0.7167946100234985,0.009341171942651272,0.6972010135650635
1690205323165682629,,22115,,1690205323,175319206,"""world""",,,3.8183062076568604,1.0112215280532837,-0.8128520846366882,,-0.0053839655593037605,-0.7168346047401428,0.009545481763780117,0.6971572041511536
1690205323174016797,,22116,,1690205323,183702258,"""world""",,,3.8182969093322754,1.0112357139587402,-0.8128349184989929,,-0.005408362485468388,-0.716646134853363,0.009699828922748566,0.6973485350608826
1690205323182250023,,22117,,1690205323,191849922,"""world""",,,3.8183207511901855,1.0112360715866089,-0.8128312826156616,,-0.005518067162483931,-0.7169164419174194,0.009641796350479126,0.6970706582069397
1690205323190314322,,22118,,1690205323,199899693,"""world""",,,3.8183135986328125,1.0112524032592773,-0.8128396272659302,,-0.005358513444662094,-0.7166875004768372,0.009713931940495968,0.697306215763092
1690205323198854580,,22119,,1690205323,208477577,"""world""",,,3.8183507919311523,1.0112662315368652,-0.8128750920295715,,-0.0060367644764482975,-0.7172884941101074,0.008614370599389076,0.696696937084198
1690205323209634033,,22120,,1690205323,219219430,"""world""",,,3.8182928562164307,1.0112818479537964,-0.8128145933151245,,-0.005350968334823847,-0.716819703578949,0.009612934663891792,0.6971718668937683
1690205323215606142,,22121,,1690205323,225075769,"""world""",,,3.8182976245880127,1.0113040208816528,-0.8128083348274231,,-0.005448811687529087,-0.7168228626251221,0.009586451575160027,0.6971681118011475
1690205323223632975,,22122,,1690205323,233311140,"""world""",,,3.8182992935180664,1.0113204717636108,-0.812831699848175,,-0.005283924750983715,-0.7167301177978516,0.009547043591737747,0.6972653269767761
1690205323231996132,,22123,,1690205323,241631434,"""world""",,,3.818298101425171,1.011344313621521,-0.812829315662384,,-0.005312203895300627,-0.7167447209358215,0.009773996658623219,0.6972469687461853
1690205323243679171,,22124,,1690205323,253281291,"""world""",,,3.818342447280884,1.0113146305084229,-0.8128213286399841,,-0.005889503750950098,-0.7173413038253784,0.008915908634662628,0.6966400742530823
1690205323249162585,,22125,,1690205323,258522051,"""world""",,,3.818347454071045,1.0113109350204468,-0.8128413558006287,,-0.00592792360112071,-0.7172589302062988,0.00891626626253128,0.6967244744300842
1690205323257317513,,22126,,1690205323,266716331,"""world""",,,3.818345069885254,1.0112988948822021,-0.8128334283828735,,-0.006292187143117189,-0.7171925902366638,0.00891694612801075,0.6967896223068237
1690205323265520996,,22127,,1690205323,275163506,"""world""",,,3.818291187286377,1.011283278465271,-0.8128185868263245,,-0.005362262949347496,-0.7168297171592712,0.009682610630989075,0.697160542011261
1690205323273483718,,22128,,1690205323,283122158,"""world""",,,3.818328380584717,1.0112656354904175,-0.8128492832183838,,-0.005162728950381279,-0.7168280482292175,0.009642701596021652,0.6971642971038818
1690205323282639159,,22129,,1690205323,292254617,"""world""",,,3.818385362625122,1.0112534761428833,-0.8128536939620972,,-0.006080795079469681,-0.7172543406486511,0.00903665367513895,0.6967264413833618
1690205323290806743,,22130,,1690205323,300188898,"""world""",,,3.818368911743164,1.011260747909546,-0.8128296732902527,,-0.006183321122080088,-0.7173401713371277,0.00883854366838932,0.6966396570205688
1690205323299283152,,22131,,1690205323,308924850,"""world""",,,3.818301200866699,1.0112597942352295,-0.8128354549407959,,-0.00534589821472764,-0.7167778611183167,0.00966760702431202,0.6972141861915588
1690205323307106168,,22132,,1690205323,316626402,"""world""",,,3.818392038345337,1.0113043785095215,-0.8128543496131897,,-0.006075155921280384,-0.7174250483512878,0.0086382320150733,0.6965556740760803
1690205323315655634,,22133,,1690205323,325068468,"""world""",,,3.818331241607666,1.011298418045044,-0.8128403425216675,,-0.0051910970360040665,-0.7168147563934326,0.009689658880233765,0.6971770524978638
1690205323323739752,,22134,,1690205323,333370780,"""world""",,,3.818333625793457,1.011313557624817,-0.8128552436828613,,-0.005441201850771904,-0.7169111371040344,0.00957926269620657,0.6970775127410889
1690205323332110797,,22135,,1690205323,341551710,"""world""",,,3.8183045387268066,1.0113312005996704,-0.8128721117973328,,-0.005215355195105076,-0.716679573059082,0.009608353488147259,0.6973169445991516
