# timestamp, jointType, position.X, position.Y, position.Z, orientation.X, orientation.Y, orientation.Z, orientation.W, state
632.987, 0, 0.1185212, -0.3244824, 2.267765, -0.0009513139, 0.9998408, -0.01378337, 0.01129148, 2
632.987, 1, 0.1180354, -0.01925286, 2.259343, -0.001062348, 0.9997174, -0.01377525, 0.01934774, 2
632.987, 2, 0.1168466, 0.2774245, 2.23744, -0.004323978, 0.9981965, -0.0532214, 0.02743339, 2
632.987, 3, 0.1359736, 0.4373993, 2.22844, 0, 0, 0, 0, 2
632.987, 4, -0.04983341, 0.1749637, 2.255532, 0.7659186, -0.6412358, 0.007899808, 0.04607334, 2
632.987, 5, -0.1133358, -0.09324782, 2.247868, 0.8168294, -0.08739991, -0.564934, -0.0774623, 1
632.987, 6, -0.1338581, -0.3130044, 2.159654, 0.7830102, -0.1490791, 0.5909091, -0.1244857, 1
632.987, 7, -0.1302978, -0.3554362, 2.156103, 0.7852879, 0.007135384, 0.6163188, -0.05850727, 1
632.987, 8, 0.2763451, 0.1586611, 2.274725, 0.7968374, 0.5973073, 0.03434315, 0.08423006, 2
632.987, 9, 0.3279393, -0.1130932, 2.300285, 0.6440274, 0.0957144, 0.7578721, -0.04119918, 1
632.987, 10, 0.3830797, -0.3335563, 2.23647, 0.8831367, 0.1671323, -0.4325103, -0.0712108, 1
632.987, 11, 0.3747601, -0.3747688, 2.217593, 0.8398405, 0.02628784, -0.4917138, -0.2284611, 1
632.987, 12, 0.04209716, -0.3157148, 2.230412, -0.6506506, 0.7254649, -0.1593438, 0.1580005, 2
632.987, 13, 0.0178698, -0.6495391, 2.275379, 0.7147056, -0.07234357, -0.6953011, 0.02277321, 2
632.987, 14, 0.01375634, -0.9967697, 2.315398, 0.7204921, -0.04394298, -0.6910636, 0.03730002, 2
632.987, 15, 0.01793787, -1.016036, 2.212918, 0, 0, 0, 0, 2
632.987, 16, 0.1912116, -0.3230718, 2.23399, 0.6823428, 0.6984237, -0.1600333, -0.1449201, 2
632.987, 17, 0.2170094, -0.6733144, 2.282894, 0.6986944, 0.07491549, 0.7111326, 0.02245021, 2
632.987, 18, 0.2148919, -1.000188, 2.313307, 0.7012546, 0.03075606, 0.7113941, 0.03485104, 2
632.987, 19, 0.2162869, -1.019454, 2.210965, 0, 0, 0, 0, 2
632.987, 20, 0.1172659, 0.2044378, 2.245257, -0.002581892, 0.9991257, -0.03137892, 0.0275082, 2
632.987, 21, -0.1168349, -0.4231596, 2.141422, 0, 0, 0, 0, 2
632.987, 22, -0.08843002, -0.3711067, 2.138619, 0, 0, 0, 0, 2
632.987, 23, 0.3642153, -0.4454809, 2.193381, 0, 0, 0, 0, 2
632.987, 24, 0.3340605, -0.3945237, 2.178308, 0, 0, 0, 0, 2
667.0952, 0, 0.1184951, -0.3245268, 2.267801, -0.000902507, 0.9998413, -0.01375792, 0.01128479, 2
667.0952, 1, 0.1180389, -0.01928318, 2.259394, -0.001018052, 0.9997112, -0.01374986, 0.01968382, 2
667.0952, 2, 0.1168881, 0.2774023, 2.237528, -0.00427997, 0.9981818, -0.05314487, 0.02811645, 2
667.0952, 3, 0.1359932, 0.437327, 2.228443, 0, 0, 0, 0, 2
667.0952, 4, -0.04977943, 0.1748372, 2.255417, 0.7661156, -0.641023, 0.008327077, 0.04568389, 2
667.0952, 5, -0.1133843, -0.09311852, 2.247868, 0.8176805, -0.08787003, -0.5636473, -0.07732458, 1
667.0952, 6, -0.1338409, -0.312847, 2.160039, 0.7663481, -0.1519549, 0.612592, -0.1197966, 1
667.0952, 7, -0.1294304, -0.3545218, 2.156482, 0.7624291, 0.0128245, 0.64354, -0.06628349, 1
667.0952, 8, 0.2766168, 0.1585117, 2.275113, 0.7968807, 0.597145, 0.03498562, 0.08470532, 2
667.0952, 9, 0.3278839, -0.1128155, 2.300286, 0.6438563, 0.09495413, 0.7581075, -0.04130262, 1
667.0952, 10, 0.3828455, -0.3330964, 2.236217, 0.8892574, 0.1660785, -0.4196597, -0.07433061, 1
667.0952, 11, 0.3730535, -0.3749663, 2.2173, 0.8427643, 0.01041652, -0.4851739, -0.2329082, 1
667.0952, 12, 0.04207329, -0.3157667, 2.230449, -0.6506817, 0.7254363, -0.1593485, 0.1579985, 2
667.0952, 13, 0.01788401, -0.6496183, 2.27538, 0.7146969, -0.07226114, -0.6953188, 0.02277102, 2
667.0952, 14, 0.01513864, -0.9885126, 2.314641, 0.7207534, -0.04278969, -0.6907796, 0.03882191, 2
667.0952, 15, 0.01953119, -1.008776, 2.210205, 0, 0, 0, 0, 2
667.0952, 16, 0.1911843, -0.3231082, 2.234024, 0.6823125, 0.6984496, -0.160006, -0.1449686, 2
667.0952, 17, 0.2171192, -0.6733146, 2.282895, 0.6987088, 0.07502422, 0.7111124, 0.02228281, 2
667.0952, 18, 0.2147608, -1.000424, 2.313682, 0.7004954, 0.03091714, 0.7121049, 0.03545304, 2
667.0952, 19, 0.2163886, -1.020593, 2.209423, 0, 0, 0, 0, 2
667.0952, 20, 0.117296, 0.2044132, 2.245333, -0.002542584, 0.9991084, -0.03132234, 0.02819265, 2
667.0952, 21, -0.1187806, -0.4190172, 2.140822, 0, 0, 0, 0, 2
667.0952, 22, -0.08683297, -0.3699875, 2.141033, 0, 0, 0, 0, 2
667.0952, 23, 0.3667307, -0.4446362, 2.194513, 0, 0, 0, 0, 2
667.0952, 24, 0.3339469, -0.3946008, 2.179766, 0, 0, 0, 0, 2
699.9824, 0, 0.1185938, -0.3244794, 2.268123, -0.001005927, 0.9998296, -0.01376996, 0.0122539, 2
699.9824, 1, 0.1180826, -0.01920943, 2.259706, -0.001116426, 0.9996991, -0.01376145, 0.0202791, 2
699.9824, 2, 0.1168794, 0.277504, 2.237837, -0.0043807, 0.9981756, -0.05313614, 0.02833341, 2
699.9824, 3, 0.1359455, 0.4373206, 2.228757, 0, 0, 0, 0, 2
699.9824, 4, -0.04999128, 0.1753068, 2.255891, 0.7653469, -0.6419196, 0.007973044, 0.0460402, 2
699.9824, 5, -0.1135482, -0.09276085, 2.248639, 0.8171145, -0.08799445, -0.5645071, -0.07689413, 1
699.9824, 6, -0.1346844, -0.3128732, 2.162232, 0.7814243, -0.1482996, 0.5940971, -0.1201325, 1
699.9824, 7, -0.1300424, -0.356242, 2.159011, 0.7791869, 0.01846923, 0.6234401, -0.0620408, 1
699.9824, 8, 0.2769566, 0.1587015, 2.2758, 0.7964948, 0.5975192, 0.03560461, 0.08543438, 2
699.9824, 9, 0.3280099, -0.112733, 2.300408, 0.643208, 0.09387121, 0.7587678, -0.04175146, 1
699.9824, 10, 0.3828821, -0.3330009, 2.236373, 0.8743997, 0.1683455, -0.4498599, -0.06863695, 1
