# timestamp, jointType, position.X, position.Y, position.Z, orientation.X, orientation.Y, orientation.Z, orientation.W, state
600.0304, 0, 0.1652231, -0.3299286, 2.162261, -0.004927927, 0.999679, -0.006488001, 0.02399143, 2
600.0304, 1, 0.1622723, -0.02070745, 2.158177, -0.004892144, 0.9997959, -0.006515025, 0.01848898, 2
600.0304, 2, 0.1583622, 0.2793299, 2.140274, -0.00833556, 0.9988155, -0.0461489, 0.01298029, 2
600.0304, 3, 0.1718435, 0.4371039, 2.126716, 0, 0, 0, 0, 2
600.0304, 4, -0.01088827, 0.1738369, 2.150621, 0.7690179, -0.6386186, 0.01353994, 0.02438017, 2
600.0304, 5, -0.0690764, -0.1022802, 2.134976, 0.7408794, -0.05859192, -0.6630245, -0.0897951, 1
600.0304, 6, -0.1085928, -0.3237479, 2.055989, 0.8659024, -0.1539733, 0.4632968, -0.1089099, 1
600.0304, 7, -0.1025716, -0.3593088, 2.040813, 0.8363991, -0.03514356, 0.5048096, -0.2106393, 1
600.0304, 8, 0.3177732, 0.158136, 2.159857, 0.8019456, 0.5958377, 0.007278531, 0.04251766, 2
600.0304, 9, 0.3660341, -0.1142771, 2.154018, 0.6994011, 0.05392579, 0.7092685, -0.06977193, 1
600.0304, 10, 0.4063602, -0.3351484, 2.075012, 0.8405864, 0.1612168, -0.5073423, -0.1001376, 1
600.0304, 11, 0.4000767, -0.381036, 2.061678, 0.8222337, 0.0227084, -0.5476987, -0.1531086, 1
600.0304, 12, 0.08729317, -0.3209425, 2.122754, -0.6508898, 0.7228418, -0.1587077, 0.1692757, 2
600.0304, 13, 0.06856947, -0.6547762, 2.164302, 0.7237013, -0.06274103, -0.6867764, 0.02565612, 2
600.0304, 14, 0.06708477, -0.9910955, 2.202214, 0.7108138, -0.04095765, -0.7011362, 0.03839468, 2
600.0304, 15, 0.06849735, -1.010742, 2.096324, 0, 0, 0, 0, 2
600.0304, 16, 0.2376463, -0.327975, 2.13008, 0.6819513, 0.7013456, -0.1504012, -0.142955, 2
600.0304, 17, 0.2474295, -0.6656289, 2.167906, 0.6890923, 0.0502778, 0.7223833, 0.02803921, 2
600.0304, 18, 0.2409332, -1.000399, 2.205933, 0.7087261, 0.03294994, 0.7031502, 0.0469192, 2
600.0304, 19, 0.239823, -1.02002, 2.10023, 0, 0, 0, 0, 2
600.0304, 20, 0.1595068, 0.2055873, 2.147119, -0.0064201, 0.9995996, -0.02432863, 0.01294594, 2
600.0304, 21, -0.08751082, -0.4282842, 2.02127, 0, 0, 0, 0, 2
600.0304, 22, -0.06635763, -0.3648294, 2.01194, 0, 0, 0, 0, 2
600.0304, 23, 0.3841683, -0.4507588, 2.033524, 0, 0, 0, 0, 2
600.0304, 24, 0.3646726, -0.3666952, 2.038526, 0, 0, 0, 0, 2
632.9262, 0, 0.1651564, -0.3298022, 2.162193, -0.00487035, 0.999689, -0.006490067, 0.02357993, 2
632.9262, 1, 0.1622406, -0.02068449, 2.15811, -0.004835902, 0.9997999, -0.006515776, 0.0182839, 2
632.9262, 2, 0.1583393, 0.2792842, 2.140178, -0.008329633, 0.998811, -0.04624529, 0.01298228, 2
632.9262, 3, 0.1718259, 0.4370627, 2.126616, 0, 0, 0, 0, 2
632.9262, 4, -0.01087126, 0.1737921, 2.150527, 0.7690673, -0.6385579, 0.0135932, 0.02438433, 2
632.9262, 5, -0.06888959, -0.1022968, 2.134625, 0.7395112, -0.05788348, -0.6645752, -0.0900688, 1
632.9262, 6, -0.1086254, -0.3237939, 2.055936, 0.8724457, -0.1525488, 0.4509975, -0.1103113, 1
632.9262, 7, -0.1032699, -0.3587647, 2.040463, 0.8441545, -0.04162331, 0.4901299, -0.2131745, 1
