# timestamp, jointType, position.X, position.Y, position.Z, orientation.X, orientation.Y, orientation.Z, orientation.W, state
600.0012, 0, 0.1647163, -0.3258095, 2.158262, 0.0002671722, 0.999838, -0.0003143238, 0.01799671, 2
600.0012, 1, 0.1648846, -0.01725536, 2.158071, 0.0002670991, 0.9998338, -0.0003143859, 0.0182293, 2
600.0012, 2, 0.1639948, 0.282066, 2.144103, -0.003466387, 0.9990394, -0.03964001, 0.01835822, 2
600.0012, 3, 0.1795203, 0.4394419, 2.133403, 0, 0, 0, 0, 2
600.0012, 4, -0.002297919, 0.1781073, 2.140792, 0.7671282, -0.6406072, 0.03279713, -0.007815469, 2
600.0012, 5, -0.07627202, -0.1009099, 2.138844, 0.7544319, -0.09610033, -0.6435248, -0.08644724, 1
600.0012, 6, -0.12337, -0.3240294, 2.063906, 0.8694125, -0.1623594, 0.4570438, -0.09419268, 1
600.0012, 7, -0.1207755, -0.3552448, 2.051354, 0.8488941, -0.06113147, 0.4918391, -0.1836738, 1
600.0012, 8, 0.3217889, 0.1537631, 2.153934, 0.8149837, 0.5792624, -0.001807107, 0.01591993, 2
600.0012, 9, 0.3615682, -0.1173173, 2.152038, 0.4968202, 0.03324918, 0.8647888, -0.06484076, 1
600.0012, 10, 0.431407, -0.3362529, 2.086549, 0.9015849, 0.1920224, -0.3811262, -0.07081638, 1
600.0012, 11, 0.4284645, -0.3907169, 2.076641, 0.9021315, 0.01381773, -0.4211784, -0.09260993, 1
600.0012, 12, 0.08783617, -0.3149046, 2.119769, -0.6431938, 0.730388, -0.1529338, 0.1715991, 2
600.0012, 13, 0.06676579, -0.6508262, 2.156454, 0.7194077, -0.06009711, -0.6917615, 0.01751768, 2
600.0012, 14, 0.06689519, -0.9945084, 2.208037, 0.7138381, -0.05183211, -0.6963453, 0.05340153, 2
600.0012, 15, 0.06960195, -1.014264, 2.100872, 0, 0, 0, 0, 2
600.0012, 16, 0.2361032, -0.3258992, 2.125123, 0.6908443, 0.6901087, -0.1526548, -0.1522522, 2
600.0012, 17, 0.2479316, -0.6586579, 2.165942, 0.693749, 0.05610532, 0.7174145, 0.02968014, 2
600.0012, 18, 0.242293, -0.9944417, 2.207889, 0.7044831, 0.0380905, 0.7069502, 0.04974098, 2
600.0012, 19, 0.2424535, -1.014264, 2.100872, 0, 0, 0, 0, 2
